https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1634572800000,2021-10-18 16:00:00,BTC/USD,61997.0,62360.0,61477.46463897,61809.0,18124261.5440139,293.2301371
1634569200000,2021-10-18 15:00:00,BTC/USD,62103.0,62183.0,61730.0,61999.0,13381217.29095354,215.82956646
1634565600000,2021-10-18 14:00:00,BTC/USD,61825.0,62213.0,61649.0,62123.0,21842519.939271588,351.60117733
1634562000000,2021-10-18 13:00:00,BTC/USD,60614.0,61927.0,59883.0,61806.0,55931976.33084882,904.96030047
1634558400000,2021-10-18 12:00:00,BTC/USD,60890.0,61145.73690433,60280.0,60621.0,30582433.94004546,504.48580426
1634554800000,2021-10-18 11:00:00,BTC/USD,61315.0,61524.0,60687.18442212,60891.0,26267985.04214349,431.39355639
1634551200000,2021-10-18 10:00:00,BTC/USD,61252.62376202,61509.0,60654.38038827,61315.0,21037104.54132915,343.09882641
1634547600000,2021-10-18 09:00:00,BTC/USD,61818.0,62143.0,60634.0,61256.0,34116295.072829835,556.94617789
1634544000000,2021-10-18 08:00:00,BTC/USD,61915.0,62470.64842387,61571.08446964,61821.0,33416086.01556501,540.52969081
1634540400000,2021-10-18 07:00:00,BTC/USD,62286.0,62682.0,61850.0,61917.0,34821337.9276437,562.3873561
1634536800000,2021-10-18 06:00:00,BTC/USD,62371.0,62457.0,62154.0,62286.0,9200884.45876698,147.71994443
1634533200000,2021-10-18 05:00:00,BTC/USD,62394.0,62550.0,62263.09115019,62374.0,12925797.17926588,207.23053162
1634529600000,2021-10-18 04:00:00,BTC/USD,62114.72771506,62446.0,61995.0,62401.0,14122065.91582012,226.31153212
1634526000000,2021-10-18 03:00:00,BTC/USD,62115.0,62283.0,61886.0,62115.0,8863975.7693805,142.7026607
1634522400000,2021-10-18 02:00:00,BTC/USD,62089.0,62318.0,61961.0,62124.64783893,11318875.598789018,182.19621346
1634518800000,2021-10-18 01:00:00,BTC/USD,62438.40756496,62573.0,62001.12875423,62089.0,21563639.17046636,347.30208524
1634515200000,2021-10-18 00:00:00,BTC/USD,61508.0,62450.0,61406.0,62438.0,38605638.672668576,618.30357591
1634511600000,2021-10-17 23:00:00,BTC/USD,61263.0,61698.0,61156.09104991,61504.0,18606037.9252544,302.5175261
1634508000000,2021-10-17 22:00:00,BTC/USD,60616.0,61293.0,60616.0,61277.0,22863950.58333798,373.12450974
1634504400000,2021-10-17 21:00:00,BTC/USD,59387.14992524,60687.0,59300.0,60608.0,29595083.659645442,488.30325468
1634500800000,2021-10-17 20:00:00,BTC/USD,60503.0,60510.0,59019.0,59387.0,69398854.7285114,1168.58663897
1634497200000,2021-10-17 19:00:00,BTC/USD,60932.0,60962.0,60289.0,60502.0,16899234.256524883,279.31695244
1634493600000,2021-10-17 18:00:00,BTC/USD,61036.0,61036.0,60838.0,60932.0,9667283.18255784,158.65691562
1634490000000,2021-10-17 17:00:00,BTC/USD,60985.0,61103.07317334,60839.0,61035.0,10966434.75117255,179.67452693
1634486400000,2021-10-17 16:00:00,BTC/USD,60749.0,61013.89446579,60654.0,60987.0,10017678.38941452,164.25924196
